
> lostlightll.github.io@0.1.0 dev
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://198.18.0.1:3000
✓ Ready in 367ms

 GET / 200 in 467ms (next.js: 300ms, application-code: 167ms)
 GET / 200 in 122ms (next.js: 8ms, application-code: 114ms)
✓ Compiled in 86ms
 GET / 200 in 80ms (next.js: 4ms, application-code: 77ms)
 GET / 200 in 214ms (next.js: 70ms, application-code: 144ms)
 GET / 200 in 83ms (next.js: 15ms, application-code: 69ms)
 GET / 200 in 61ms (next.js: 23ms, application-code: 38ms)
 GET / 200 in 25ms (next.js: 1797µs, application-code: 23ms)
 GET / 200 in 135ms (next.js: 4ms, application-code: 132ms)
 GET / 200 in 75ms (next.js: 25ms, application-code: 49ms)
 GET / 200 in 32ms (next.js: 2ms, application-code: 30ms)
 GET / 200 in 146ms (next.js: 3ms, application-code: 143ms)
 GET / 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 37ms (next.js: 1654µs, application-code: 36ms)
 GET / 200 in 106ms (next.js: 27ms, application-code: 79ms)
 GET / 200 in 54ms (next.js: 3ms, application-code: 51ms)
 GET / 200 in 54ms (next.js: 22ms, application-code: 32ms)
 GET / 200 in 20ms (next.js: 1793µs, application-code: 18ms)
 GET / 200 in 143ms (next.js: 3ms, application-code: 139ms)
 GET / 200 in 84ms (next.js: 5ms, application-code: 80ms)
 GET / 200 in 107ms (next.js: 4ms, application-code: 103ms)
 GET / 200 in 119ms (next.js: 5ms, application-code: 114ms)
 GET / 200 in 255ms (next.js: 68ms, application-code: 187ms)
 GET / 200 in 138ms (next.js: 6ms, application-code: 132ms)
 GET / 200 in 138ms (next.js: 45ms, application-code: 93ms)
 GET / 200 in 54ms (next.js: 5ms, application-code: 49ms)
 GET / 200 in 447ms (next.js: 9ms, application-code: 438ms)
 GET / 200 in 68ms (next.js: 4ms, application-code: 64ms)
 GET / 200 in 228ms (next.js: 50ms, application-code: 178ms)
 GET / 200 in 133ms (next.js: 8ms, application-code: 125ms)
 GET / 200 in 136ms (next.js: 62ms, application-code: 74ms)
 GET / 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET / 200 in 130ms (next.js: 3ms, application-code: 127ms)
 GET / 200 in 67ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 115ms (next.js: 23ms, application-code: 93ms)
 GET / 200 in 71ms (next.js: 3ms, application-code: 67ms)
 GET / 200 in 71ms (next.js: 21ms, application-code: 50ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 33ms)
✓ Compiled in 75ms
 GET / 200 in 124ms (next.js: 26ms, application-code: 98ms)
 GET / 200 in 73ms (next.js: 33ms, application-code: 39ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 191ms (next.js: 5ms, application-code: 186ms)
 GET / 200 in 179ms (next.js: 4ms, application-code: 175ms)
 GET / 200 in 207ms (next.js: 9ms, application-code: 198ms)
 GET / 200 in 98ms (next.js: 9ms, application-code: 89ms)
 GET / 200 in 204ms (next.js: 4ms, application-code: 200ms)
 GET / 200 in 247ms (next.js: 7ms, application-code: 241ms)
 GET / 200 in 167ms (next.js: 4ms, application-code: 163ms)
 GET / 200 in 225ms (next.js: 11ms, application-code: 213ms)
 GET / 200 in 105ms (next.js: 4ms, application-code: 101ms)
 GET / 200 in 90ms (next.js: 3ms, application-code: 86ms)
 GET / 200 in 83ms (next.js: 3ms, application-code: 80ms)
 GET / 200 in 140ms (next.js: 32ms, application-code: 108ms)
 GET / 200 in 81ms (next.js: 24ms, application-code: 57ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET / 200 in 174ms (next.js: 3ms, application-code: 171ms)
 GET / 200 in 113ms (next.js: 5ms, application-code: 109ms)
 GET / 200 in 106ms (next.js: 3ms, application-code: 103ms)
 GET / 200 in 79ms (next.js: 3ms, application-code: 76ms)
